window,year,champions,matched,both_resolved,treated_resolved,control_resolved,mean_score_difference,max_score_distance
two_year_all,2017,54,34,34,34,34,0.014705882352941176,0.25
two_year_all,2018,270,81,74,78,77,0.0,0.0
two_year_all,2019,545,125,121,124,122,0.004,0.25
two_year_all,2021,634,470,447,458,459,0.1580851063829787,0.25
two_year_all,2022,1063,236,74,133,128,0.15953389830508477,0.25
two_year_all,2023,1528,300,77,164,146,0.14622222222222223,0.25
two_year_all,2024,2488,527,123,268,250,0.1657811511701455,0.25
three_year_original,2017,54,34,34,34,34,0.014705882352941176,0.25
three_year_original,2018,270,81,74,78,77,0.0,0.0
three_year_original,2019,545,125,121,124,122,0.004,0.25
three_year_original,2021,634,470,447,458,459,0.1580851063829787,0.25
three_year_original,2022,1063,236,74,133,128,0.15953389830508477,0.25
