id,frame,budget,rule,estimate,ci_low,ci_high,note
yield_two_year_through_2024_D2_observed_only_b1,2017-2024 ex2020 2yr,1%,D2,3.765730,-6.615479,10.349787,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_D2_observed_only_b1_coverage,2017-2024 ex2020 2yr,1%,D2,59.154930,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_D2_observed_only_b1_slots,2017-2024 ex2020 2yr,1%,D2,71.000000,,,award slots at this budget
yield_two_year_through_2024_D2_missing_percentile_0_b1,2017-2024 ex2020 2yr,1%,D2,-1.896756,-9.857347,5.155954,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_D2_missing_percentile_0_b1_coverage,2017-2024 ex2020 2yr,1%,D2,59.154930,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_D2_missing_percentile_0_b1_slots,2017-2024 ex2020 2yr,1%,D2,71.000000,,,award slots at this budget
yield_two_year_through_2024_D2_missing_pool_mean_b1,2017-2024 ex2020 2yr,1%,D2,2.425447,-3.673932,6.445128,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_D2_missing_pool_mean_b1_coverage,2017-2024 ex2020 2yr,1%,D2,59.154930,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_D2_missing_pool_mean_b1_slots,2017-2024 ex2020 2yr,1%,D2,71.000000,,,award slots at this budget
yield_two_year_through_2024_D2_missing_zero_citation_percentile_b1,2017-2024 ex2020 2yr,1%,D2,-0.006555,-6.923307,5.237081,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_D2_missing_zero_citation_percentile_b1_coverage,2017-2024 ex2020 2yr,1%,D2,59.154930,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_D2_missing_zero_citation_percentile_b1_slots,2017-2024 ex2020 2yr,1%,D2,71.000000,,,award slots at this budget
yield_two_year_through_2024_mean_observed_only_b1,2017-2024 ex2020 2yr,1%,mean,10.689192,2.727936,15.979202,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_mean_observed_only_b1_coverage,2017-2024 ex2020 2yr,1%,mean,78.873239,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_mean_observed_only_b1_slots,2017-2024 ex2020 2yr,1%,mean,71.000000,,,award slots at this budget
yield_two_year_through_2024_mean_missing_percentile_0_b1,2017-2024 ex2020 2yr,1%,mean,12.714016,3.501205,18.286948,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_mean_missing_percentile_0_b1_coverage,2017-2024 ex2020 2yr,1%,mean,78.873239,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_mean_missing_percentile_0_b1_slots,2017-2024 ex2020 2yr,1%,mean,71.000000,,,award slots at this budget
yield_two_year_through_2024_mean_missing_pool_mean_b1,2017-2024 ex2020 2yr,1%,mean,8.210210,1.976651,12.163298,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_mean_missing_pool_mean_b1_coverage,2017-2024 ex2020 2yr,1%,mean,78.873239,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_mean_missing_pool_mean_b1_slots,2017-2024 ex2020 2yr,1%,mean,71.000000,,,award slots at this budget
yield_two_year_through_2024_mean_missing_zero_citation_percentile_b1,2017-2024 ex2020 2yr,1%,mean,10.806159,3.184739,15.528697,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_mean_missing_zero_citation_percentile_b1_coverage,2017-2024 ex2020 2yr,1%,mean,78.873239,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_mean_missing_zero_citation_percentile_b1_slots,2017-2024 ex2020 2yr,1%,mean,71.000000,,,award slots at this budget
yield_two_year_through_2024_variance_observed_only_b1,2017-2024 ex2020 2yr,1%,variance,0.708351,-6.284006,8.901521,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_variance_observed_only_b1_coverage,2017-2024 ex2020 2yr,1%,variance,76.056338,,,"share of selections with an observed outcome, %"
