frame,year,submissions,eligible_rejects,resolved,coverage
two_year_frame.jsonl,2017,489,244,239,0.9795081967213115
two_year_frame.jsonl,2018,1012,491,472,0.9613034623217923
two_year_frame.jsonl,2019,1569,917,892,0.9727371864776445
two_year_frame.jsonl,2020,2593,1526,1482,0.9711664482306684
two_year_frame.jsonl,2021,3009,1735,1689,0.9734870317002882
two_year_frame.jsonl,2022,3422,1525,928,0.6085245901639345
two_year_frame.jsonl,2023,4955,2226,1224,0.5498652291105122
two_year_frame.jsonl,2024,7401,3487,1967,0.5640952107829079
old_two_year_frame.jsonl,2017,489,244,239,0.9795081967213115
old_two_year_frame.jsonl,2018,1012,491,472,0.9613034623217923
old_two_year_frame.jsonl,2019,1569,917,892,0.9727371864776445
old_two_year_frame.jsonl,2020,2593,1526,1482,0.9711664482306684
old_two_year_frame.jsonl,2021,3009,1735,1689,0.9734870317002882
old_two_year_frame.jsonl,2022,3422,1525,928,0.6085245901639345
three_year_frame.jsonl,2017,489,244,239,0.9795081967213115
three_year_frame.jsonl,2018,1012,491,472,0.9613034623217923
three_year_frame.jsonl,2019,1569,917,892,0.9727371864776445
three_year_frame.jsonl,2020,2593,1526,1482,0.9711664482306684
three_year_frame.jsonl,2021,3009,1735,1689,0.9734870317002882
three_year_frame.jsonl,2022,3422,1525,928,0.6085245901639345
