budget_pct,slots,assumption,lower,upper
1,71,fixed_reference_sharp_0_100,-32.79238917424321,38.67189127584024
1,71,fixed_reference_sharp_0_annual_q25_assumption,-7.550592676483266,5.600720021255835
1,71,full_cohort_rank_outer_bound_not_sharp,-47.137269577360584,51.13564952452718
2,140,fixed_reference_sharp_0_100,-30.065232917915296,32.076297274900305
2,140,fixed_reference_sharp_0_annual_q25_assumption,-4.6216512873446005,6.715144138779118
2,140,full_cohort_rank_outer_bound_not_sharp,-45.51186955902212,46.84990188421823
5,344,fixed_reference_sharp_0_100,-34.22784898588368,31.737779167438347
5,344,fixed_reference_sharp_0_annual_q25_assumption,-9.243074493580718,2.7565701575722543
5,344,full_cohort_rank_outer_bound_not_sharp,-48.00776552686371,46.05627470823457
10,686,fixed_reference_sharp_0_100,-31.0863137388697,29.868660706783146
10,686,fixed_reference_sharp_0_annual_q25_assumption,-6.929599892650218,4.208335013631503
10,686,full_cohort_rank_outer_bound_not_sharp,-44.731729834500925,44.12839205358266
