budget_pct,rule,lower,upper
1,D2,-24.27544180311631,26.677290116624015
1,mean,-6.065674395862548,34.684283712651585
1,variance,-23.13963069524207,22.711714318885164
1,max,-18.49297355988823,35.687088413290745
1,max_resid,-29.209804174983123,25.908085142244914
1,lottery,0.0,0.0
2,D2,-25.249453123032154,26.154432933568067
2,mean,-16.20902965826846,31.627157678606462
2,variance,-22.073041264341363,23.553717985086294
2,max,-16.667833028119663,35.31136375725684
2,max_resid,-24.618669854141693,26.20983843311236
2,lottery,0.0,0.0
5,D2,-28.48827475986327,24.690091931119085
5,mean,-13.311386872473216,32.84516328838924
5,variance,-23.65287495096098,25.372077223632083
5,max,-16.424209316057308,32.204895480767775
5,max_resid,-23.14106647389359,25.88388570069948
5,lottery,0.0,0.0
10,D2,-24.610803349970087,23.923529940819055
10,mean,-13.038439085434119,30.564034016068074
10,variance,-20.32304439649099,25.523985679376132
10,max,-16.711491233652694,30.774918533103452
10,max_resid,-24.580148177630633,22.41985997723407
10,lottery,0.0,0.0
