budget_pct,slots,rule,scenario,resolved_selected,coverage,mean_percentile,ci_low,ci_high,difference_lottery,difference_ci_low,difference_ci_high
1,32,D2,observed_only,26.0,0.8125,42.524670149975904,30.959396195617877,51.031143605110586,1.5617942500574031,-10.004003805809928,10.121691498376757
1,32,D2,missing_percentile_0,26.0,0.8125,34.55129449685542,22.90738995901701,43.362334960005924,-0.13377379160572644,-11.731155409872414,8.684289352649158
1,32,D2,missing_pool_mean,26.0,0.8125,42.73540677905266,33.73947470871577,49.58087486071873,1.3573295712328601,-7.627187763147006,8.230187241169007
1,32,D2,missing_zero_citation_percentile,26.0,0.8125,37.30810786372224,26.93245124807749,45.230282358963265,0.5568679471448306,-9.818427723082012,8.457823969144657
1,32,mean,observed_only,30.0,0.9375,58.585717313236124,48.48431381970933,65.01301857499502,17.622841413317623,7.358069927548927,23.86447867493934
1,32,mean,missing_percentile_0,30.0,0.9375,54.924109981158864,42.26901899670229,61.908021163297065,20.239041692697718,7.615667890896323,27.332621477546983
1,32,mean,missing_pool_mean,30.0,0.9375,57.688824122649244,48.06017860609418,63.74640431540973,16.310746914829444,6.622101586045172,22.24955443791431
1,32,mean,missing_zero_citation_percentile,30.0,0.9375,55.77122411864265,44.28937050584186,62.46094302768147,19.01998420206524,7.538832064375735,25.671922424753856
1,32,variance,observed_only,28.0,0.875,41.332496904028645,31.792281019223534,53.00425700696049,0.36962100411014376,-9.120614746166229,11.989198808557271
1,32,variance,missing_percentile_0,28.0,0.875,36.165934791025066,26.711079302940888,47.720046795084244,1.48086650256392,-7.827744024511529,12.968515233687784
1,32,variance,missing_pool_mean,28.0,0.875,41.640348002868876,33.49508702737891,51.93302567692352,0.26227079504907636,-7.79451010491385,10.364509334206442
1,32,variance,missing_zero_citation_percentile,28.0,0.875,37.96789854320036,29.354703642708124,48.8774577689466,1.2166586266229515,-7.423102132146409,11.960791701937575
1,32,max,observed_only,24.0,0.75,53.208993108298536,40.67420172072526,63.95837420980692,12.246117208380035,-0.17307185158623437,23.034543808968262
1,32,max,missing_percentile_0,24.0,0.75,39.906744831223904,30.019014363751104,52.64229307169515,5.221676542762758,-4.6574965445512095,18.064316676618336
1,32,max,missing_pool_mean,24.0,0.75,50.81132699432449,41.40844471516195,59.787730635640855,9.433249786504689,0.1727131653383461,18.44003142728079
1,32,max,missing_zero_citation_percentile,24.0,0.75,43.24574971254729,33.5658239369663,54.88552520107631,6.494509795969876,-3.2227043206553883,18.058038642697994
1,32,max_resid,observed_only,24.0,0.75,37.52153943057314,28.828180377431046,50.72570177267786,-3.4413364693453588,-12.162964277073211,9.782145106314637
1,32,max_resid,missing_percentile_0,24.0,0.75,28.141154572929857,20.325623701132244,41.95806023024168,-6.543913715531289,-14.286007744640413,7.445512460131436
1,32,max_resid,missing_pool_mean,24.0,0.75,38.99072166489349,32.253605269312004,49.26210963218894,-2.387355542926308,-8.953577726920507,7.850312640466675
1,32,max_resid,missing_zero_citation_percentile,24.0,0.75,31.587894931460966,24.849735234013096,44.081647963239,-5.163344985116446,-11.977894124053057,7.461792012335867
1,32,lottery,observed_only,27.09580713870153,0.8467439730844228,40.9628758999185,40.36564799850649,41.558942311940676,0.0,0.0,0.0
1,32,lottery,missing_percentile_0,27.09580713870153,0.8467439730844228,34.685068288461146,34.04852844060867,35.33094933056746,0.0,0.0,0.0
1,32,lottery,missing_pool_mean,27.09580713870153,0.8467439730844228,41.3780772078198,40.734484192771724,42.01779764525987,0.0,0.0,0.0
1,32,lottery,missing_zero_citation_percentile,27.09580713870153,0.8467439730844228,36.75123991657741,36.163509157289106,37.34087928537811,0.0,0.0,0.0
2,62,D2,observed_only,50.0,0.8064516129032258,41.70577846738025,33.487905419211245,48.62251068124289,0.6222851592146981,-7.763405873778023,7.497451948478759
2,62,D2,missing_percentile_0,50.0,0.8064516129032258,33.633692312403426,26.052142594559662,40.506612721501654,-0.9941089210111826,-8.61896156293388,5.7180533552953925
2,62,D2,missing_pool_mean,50.0,0.8064516129032258,42.058972469207276,35.41460679231171,47.62522883504283,0.5620644418894187,-6.023509235373003,6.110590183744985
2,62,D2,missing_zero_citation_percentile,50.0,0.8064516129032258,36.342700885671256,29.283103209812836,42.61573415027244,-0.4068072970069281,-7.526955055338404,5.773081320568191
2,62,mean,observed_only,52.0,0.8387096774193549,51.46528763378796,46.027305411945306,60.611262465373535,10.381794325622408,5.057676153084479,19.450116248493618
2,62,mean,missing_percentile_0,52.0,0.8387096774193549,43.16443478962861,38.07997807899578,53.076474405702314,8.536633556214,3.484515491225314,18.40100199297834
2,62,mean,missing_pool_mean,52.0,0.8387096774193549,50.299180961216685,45.80380389315362,58.30347474327343,8.802272933898827,4.420526170341002,16.66752273044885
2,62,mean,missing_zero_citation_percentile,52.0,0.8387096774193549,45.350535789586765,40.69852911213686,54.611054566637954,8.60102760690858,4.026314286019389,17.783944567154276
2,62,variance,observed_only,55.0,0.8870967741935484,42.70650167880836,34.83703894991191,50.02026655064669,1.6230083706428076,-6.206779442100934,8.931579556463513
2,62,variance,missing_percentile_0,55.0,0.8870967741935484,37.88479987636225,29.2310428940271,44.78852830887468,3.256998642947643,-5.397859547892075,9.864590584041954
2,62,variance,missing_pool_mean,55.0,0.8870967741935484,42.77110182279759,36.03554689116678,49.19526731231352,1.2741937954797322,-5.370220628520359,7.681529024822582
2,62,variance,missing_zero_citation_percentile,55.0,0.8870967741935484,39.445152542059915,31.662980351835287,45.783201001990385,2.695644359381731,-5.030053448311403,8.881204339440814
2,62,max,observed_only,49.0,0.7903225806451613,53.3652091466903,44.58248474571397,60.65014747716402,12.281715838524747,3.5045241258528073,19.511590868504708
2,62,max,missing_percentile_0,49.0,0.7903225806451613,42.17572980948104,34.646935385537,49.73358457936196,7.5479285760664325,-0.010471021123589502,15.132007944656339
2,62,max,missing_pool_mean,49.0,0.7903225806451613,51.34287945886921,44.42014985375221,57.114513293850464,9.845971431551355,2.9226582645176293,15.499968786854646
2,62,max,missing_zero_citation_percentile,49.0,0.7903225806451613,45.047743075153605,37.84950085506896,51.79105482898307,8.29823489247542,1.0767114315760415,15.12952234352903
2,62,max_resid,observed_only,51.0,0.8225806451612904,42.169882052893456,34.93020512084885,49.756323965142634,1.0863887447279055,-6.104337580443864,8.692660337359989
2,62,max_resid,missing_percentile_0,51.0,0.8225806451612904,34.68812878544462,27.464700063649364,42.22139463892473,0.06032755203001017,-7.112907329883222,7.46815955131996
2,62,max_resid,missing_pool_mean,51.0,0.8225806451612904,42.320308826838854,36.36118583606974,48.63114999193075,0.8234007995209964,-5.101344115373481,7.153242378518786
2,62,max_resid,missing_zero_citation_percentile,51.0,0.8225806451612904,37.1530038168525,30.61393149679709,44.08451113923139,0.40349563417431256,-6.180732348809181,7.295210551835338
2,62,lottery,observed_only,52.25757362860362,0.8428640907839294,41.08349330816555,40.49479238714501,41.67846379320303,0.0,0.0,0.0
2,62,lottery,missing_percentile_0,52.25757362860362,0.8428640907839294,34.62780123341461,33.98706627471634,35.28011360672284,0.0,0.0,0.0
