budget_pct,rule,lower,upper
1,D2,-23.38929699406043,27.563434925679896
1,mean,-5.923482543934078,34.82647556458005
1,variance,-24.430663984450717,21.42068102967651
1,max,-17.5595269152482,36.62053505793078
1,max_resid,-29.974034788115652,25.14385452911238
1,lottery,0.0,0.0
2,D2,-24.54964006068029,26.854245995919918
2,mean,-15.51023415672142,32.32595318015349
2,variance,-23.508621460387186,22.118137789040468
2,max,-16.125213391800887,35.8539833935756
2,max_resid,-24.156595268731465,26.671913018522574
2,lottery,0.0,0.0
5,D2,-27.82973516344932,25.348631527533033
5,mean,-13.509271778437316,32.64727838242513
5,variance,-23.351472135342647,25.67348003925042
5,max,-16.47831141844925,32.15079337837584
5,max_resid,-22.468630902139207,26.55632127245386
5,lottery,0.0,0.0
10,D2,-24.004583869624692,24.529749421164453
10,mean,-13.18052272300717,30.421950378495026
10,variance,-19.983562850397067,25.863467225470053
10,max,-16.84096204628318,30.645447720472966
10,max_resid,-23.955838026528184,23.04417012833651
10,lottery,0.0,0.0
